Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/pdf-parser/jobs/pdf-parse-c5a09127-b053-413a-81b9-3df92725a08d/result,32,27,6,7.102511688572122,3.765083005419001,15.650207991711795,1422.1875,0.13826508666575962,0.1166611668742347,6,7,8,8,9,12,16,16,16,16,16
GET,/api/pdf-parser/jobs/pdf-parse-cf2c4bb9-f7a4-4a27-b45f-a643dfe2aee1,1,0,10.989082977175713,10.989082977175713,10.989082977175713,10.989082977175713,24978.0,0.004320783958304988,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/pdf-parser/jobs/pdf-parse-cf2c4bb9-f7a4-4a27-b45f-a643dfe2aee1/result,1,0,4.396083008032292,4.396083008032292,4.396083008032292,4.396083008032292,24638.0,0.004320783958304988,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/pdf-parser/jobs/pdf-parse-df6c98e6-1fae-4b07-b69f-7522690c2ae5,1,0,10.226917016552761,10.226917016552761,10.226917016552761,10.226917016552761,19177.0,0.004320783958304988,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/pdf-parser/jobs/pdf-parse-e1fa8404-6b08-4ff1-bdf2-74d4f3fca4e2,1,0,4.828208009712398,4.828208009712398,4.828208009712398,4.828208009712398,17546.0,0.004320783958304988,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/api/pdf-parser/jobs/pdf-parse-e8e94f42-63b7-416b-a25f-a25b7e0ccf5b,2,0,10.246833000564948,10.488999498193152,10.246833000564948,10.731165995821357,19514.0,0.008641567916609976,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/pdf-parser/jobs/pdf-parse-e8e94f42-63b7-416b-a25f-a25b7e0ccf5b/result,2,0,10.207667015492916,10.509229497984052,10.207667015492916,10.810791980475187,19174.0,0.008641567916609976,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/pdf-parser/jobs/pdf-parse-eeefa507-d86e-43b3-9903-b5a03dc824b7/result,1,0,12.14904201333411,12.14904201333411,12.14904201333411,12.14904201333411,34502.0,0.004320783958304988,0.0,12,12,12,12,12,12,12,12,12,12,12
POST,/api/pdf-parser/jobs/upload,226,184,7,8.659043327175839,2.185166988056153,58.342874981462955,1463.1371681415928,0.9764971745769274,0.7950242483281179,7,7,8,8,14,26,29,32,58,58,58
POST,/api/solver/jobs,36,36,6,6.337671305421584,2.1306249836925417,10.8983330137562,15.333333333333334,0.1555482224989796,0.1555482224989796,6,7,7,7,8,9,11,11,11,11,11
GET,/api/timetables,122,87,7,6.863461688569304,2.0216659759171307,13.270124996779487,4.877049180327869,0.5271356429132086,0.375908204372534,7,7,8,8,9,10,12,12,13,13,13
,Aggregated,925,721,7,10.845603590289986,2.0216659759171307,211.8057920015417,1160.7772972972973,3.9967251614321144,3.1152852339378967,7,7,8,8,12,25,91,110,210,210,210
